comunitat,comunitat_sencer,codi.comunitat,dia.mostreig,Lat,Long,codi,depth,dia.processament,fraccio,Observacions..1.AL.CAMP..2.SEPARACIO.,ORIENTACIO,Nº.POTS.GROCS,Nº.FALCONS,observacions,dia.extracció,grams.material,num.caixa.mostres,Ordre_geografic,Area_filogenetica,dist_from_TAR.km.
TARIFA,TARIFA,TAR,20180925,36.0055,-5.6119,TAR_20180925_3_AB,8,20200109,AB,1,-,2,1,,20200206,10.4,77,1,Alboran,0
TARIFA,TARIFA,TAR,20180925,36.0055,-5.6119,TAR_20180925_3_C,8,20200109,C,1,-,-,1,,20200206,10.4,78,1,Alboran,0
TARIFA,TARIFA,TAR,20180925,36.0055,-5.6119,TAR_20180925_4_AB,8,20200109,AB,1,-,2,1,,20200206,9.7,79,1,Alboran,0
TARIFA,TARIFA,TAR,20180925,36.0055,-5.6119,TAR_20180925_4_C,8,20200109,C,1,-,-,1,,20200206,10.5,80,1,Alboran,0
TARIFA,TARIFA,TAR,20180925,36.0055,-5.6119,TAR_20180925_2_AB,7.5,20200110,AB,,-,2,1,,20200206,10.2,81,1,Alboran,0
TARIFA,TARIFA,TAR,20180925,36.0055,-5.6119,TAR_20180925_2_C,7.5,20200110,C,2,-,-,1,,20200206,9.8,82,1,Alboran,0
COSTA DEL SOL,COSTA DEL SOL,SOL,20180925,36.3793,-5.20994,SOL_20180925_1_AB,4,20200113,AB,2,-,1,1,,20200206,9.8,83,2,Alboran,60.02
COSTA DEL SOL,COSTA DEL SOL,SOL,20180925,36.3793,-5.20994,SOL_20180925_1_C,4,20200113,C,2,-,-,1,,20200206,10.5,84,2,Alboran,60.02
COSTA DEL SOL,COSTA DEL SOL,SOL,20180925,36.3793,-5.20994,SOL_20180925_2_AB,4.4,20200113,AB,2,-,1,1,,20200206,9.8,85,2,Alboran,60.02
COSTA DEL SOL,COSTA DEL SOL,SOL,20180925,36.3793,-5.20994,SOL_20180925_2_C,4.4,20200113,C,2,-,1,1,,20200206,9.8,86,2,Alboran,60.02
COSTA DEL SOL,COSTA DEL SOL,SOL,20180925,36.3793,-5.20994,SOL_20180925_4_AB,5.1,20200114,AB,2,-,1,-,,20200206,10.2,87,2,Alboran,60.02
COSTA DEL SOL,COSTA DEL SOL,SOL,20180925,36.3793,-5.20994,SOL_20180925_4_C,5.1,20200114,C,2,-,1,-,,20200206,10.4,88,2,Alboran,60.02
LA HERRADURA,LA HERRADURA,LHE,20180926,36.7215,-3.7355,LHE_20180926_1_AB,7.3,20200115,AB,2,WNW,1,-,,20200206,10.3,90,3,Alboran,197.13
LA HERRADURA,LA HERRADURA,LHE,20180926,36.7215,-3.7355,LHE_20180926_1_C,7.3,20200115,C,-,WNW,-,1,,20200206,9.8,91,3,Alboran,197.13
LA HERRADURA,LA HERRADURA,LHE,20180926,36.7215,-3.7355,LHE_20180926_4_AB,7.2,20200115,AB,2,WNW,1,-,,20200206,10,92,3,Alboran,197.13
LA HERRADURA,LA HERRADURA,LHE,20180926,36.7215,-3.7355,LHE_20180926_4_C,7.2,20200115,C,-,WNW,-,1,,20200206,10.2,93,3,Alboran,197.13
LA HERRADURA,LA HERRADURA,LHE,20180926,36.7215,-3.7355,LHE_20180926_3_AB,7,20200115,AB,-,WNW,1,-,,20200206,10.1,94,3,Alboran,197.13
LA HERRADURA,LA HERRADURA,LHE,20180926,36.7215,-3.7355,LHE_20180926_3_C,7,20200115,C,-,WNW,-,1,,20200206,11.1,95,3,Alboran,197.13
COSTA DE GRANADA,COSTA DE GRANADA,GRA,20180926,36.7027,-3.4113,GRA_20180926_1_AB,5.7,20200128,AB,-,W,1,-,,20200207,10.8,96,4,Alboran,226.89
COSTA DE GRANADA,COSTA DE GRANADA,GRA,20180926,36.7027,-3.4113,GRA_20180926_1_C,5.7,20200128,C,-,W,-,1,,20200207,10.4,97,4,Alboran,226.89
COSTA DE GRANADA,COSTA DE GRANADA,GRA,20180926,36.7027,-3.4113,GRA_20180926_3_AB,5.7,20200128,AB,-,W,1,-,,20200207,10.4,98,4,Alboran,226.89
COSTA DE GRANADA,COSTA DE GRANADA,GRA,20180926,36.7027,-3.4113,GRA_20180926_3_C,5.7,20200128,C,-,W,-,1,,20200207,10.4,99,4,Alboran,226.89
COSTA DE GRANADA,COSTA DE GRANADA,GRA,20180926,36.7027,-3.4113,GRA_20180926_4_AB,7,20200128,AB,1,W,1,-,,20200207,10.2,100,4,Alboran,226.89
COSTA DE GRANADA,COSTA DE GRANADA,GRA,20180926,36.7027,-3.4113,GRA_20180926_4_C,7,20200128,C,1,W,-,1,,20200207,11.6,101,4,Alboran,226.89
CARBONERAS,CARBONERAS,CAR,20180927,37.4291291,-1.502484,CAR_20180927_1_AB,4.7,20200129,AB,2,SW,1,1,,20200207,10.3,102,5,Canal_Ibiza_S,437.43
CARBONERAS,CARBONERAS,CAR,20180927,37.4291291,-1.502484,CAR_20180927_1_C,4.7,20200129,C,2,SW,-,1,,20200207,10,103,5,Canal_Ibiza_S,437.43
CARBONERAS,CARBONERAS,CAR,20180927,37.4291291,-1.502484,CAR_20180927_2_AB,4.4,20200129,AB,1,SW,1,2*,*Un dels pots és una esponja,20200207,10.7,104,5,Canal_Ibiza_S,437.43
CARBONERAS,CARBONERAS,CAR,20180927,37.4291291,-1.502484,CAR_20180927_2_C,4.4,20200129,C,1,SW,-,1,,20200207,9.9,105,5,Canal_Ibiza_S,437.43
CARBONERAS,CARBONERAS,CAR,20180927,37.4291291,-1.502484,CAR_20180927_3_AB,4.9,20200128,AB,-,SW,1,1,,20200207,10,106,5,Canal_Ibiza_S,437.43
CARBONERAS,CARBONERAS,CAR,20180927,37.4291291,-1.502484,CAR_20180927_3_C,4.9,20200128,C,-,SW,-,2,,20200207,9.9,107,5,Canal_Ibiza_S,437.43
AZOHIA,AZOHIA,AZO,20180927,37.5511399,-1.1746288,AZO_20180927_1_AB,6.6,20200130,AB,,W,2,-,,20200207,11,109,6,Canal_Ibiza_S,470.21
AZOHIA,AZOHIA,AZO,20180927,37.5511399,-1.1746288,AZO_20180927_1_C,6.6,20200130,C,,W,-,1,,20200207,10.1,110,6,Canal_Ibiza_S,470.21
AZOHIA,AZOHIA,AZO,20180927,37.5511399,-1.1746288,AZO_20180927_2_AB,6.2,20200130,AB,,W,2,-,,20200207,11,111,6,Canal_Ibiza_S,470.21
AZOHIA,AZOHIA,AZO,20180927,37.5511399,-1.1746288,AZO_20180927_2_C,6.2,20200130,C,,W,-,2,,20200207,10.2,112,6,Canal_Ibiza_S,470.21
AZOHIA,AZOHIA,AZO,20180927,37.5511399,-1.1746288,AZO_20180927_4_AB,7.9,20200130,AB,1,SW,2,-,,20200207,10.4,113,6,Canal_Ibiza_S,470.21
AZOHIA,AZOHIA,AZO,20180927,37.5511399,-1.1746288,AZO_20180927_4_C,7.9,20200130,C,1,SW,-,2,,20200207,10,114,6,Canal_Ibiza_S,470.21
PALOS,PALOS (BAJO DE FUERA),PAL,20180928,37.662843,-0.630604131,PAL_20180928_1_AB,8.5,20200203,AB,,SSW,1,-,,20200207,9.7,115,7,Canal_Ibiza_S,522.24
PALOS,PALOS (BAJO DE FUERA),PAL,20180928,37.662843,-0.630604131,PAL_20180928_1_C,8.5,20200203,C,,SSW,-,1,,20200207,10,116,7,Canal_Ibiza_S,522.24
PALOS,PALOS (BAJO DE FUERA),PAL,20180928,37.662843,-0.630604131,PAL_20180928_2_AB,7.8,20200203,AB,,SSW,1,-,,20200207,10.3,117,7,Canal_Ibiza_S,522.24
PALOS,PALOS (BAJO DE FUERA),PAL,20180928,37.662843,-0.630604131,PAL_20180928_2_C,7.8,20200203,C,,SSW,-,1,,20200207,10.2,118,7,Canal_Ibiza_S,522.24
PALOS,PALOS (BAJO DE FUERA),PAL,20180928,37.662843,-0.630604131,PAL_20180928_4_AB,7.3,20200203,AB,2,SSW,1,-,,20200207,10.8,119,7,Canal_Ibiza_S,522.24
PALOS,PALOS (BAJO DE FUERA),PAL,20180928,37.662843,-0.630604131,PAL_20180928_4_C,7.3,20200203,C,2,SSW,-,1,,20200207,10.1,120,7,Canal_Ibiza_S,522.24
VILLAJOYOSA,VILLAJOYOSA (ILLA DE BENIDORM),JOY,20180928,38.501793,-0.133227,JOY_20180928_1_AB,6.4,20200204,AB,2,SSW,1,1,,20200207,10.6,121,8,Canal_Ibiza_S,624.15
VILLAJOYOSA,VILLAJOYOSA (ILLA DE BENIDORM),JOY,20180928,38.501793,-0.133227,JOY_20180928_1_C,6.4,20200204,C,2,SSW,1,-,,20200207,10.3,122,8,Canal_Ibiza_S,624.15
VILLAJOYOSA,VILLAJOYOSA (ILLA DE BENIDORM),JOY,20180928,38.501793,-0.133227,JOY_20180928_2_AB,7,20200204,AB,,SSW,1,1,,20200207,11.8,123,8,Canal_Ibiza_S,624.15
VILLAJOYOSA,VILLAJOYOSA (ILLA DE BENIDORM),JOY,20180928,38.501793,-0.133227,JOY_20180928_2_C,7,20200204,C,,SSW,1,-,,20200207,10.3,124,8,Canal_Ibiza_S,624.15
VILLAJOYOSA,VILLAJOYOSA (ILLA DE BENIDORM),JOY,20180928,38.501793,-0.133227,JOY_20180928_3_AB,6.8,20200204,AB,,SSW,1,2,,20200207,10.2,125,8,Canal_Ibiza_S,624.15
VILLAJOYOSA,VILLAJOYOSA (ILLA DE BENIDORM),JOY,20180928,38.501793,-0.133227,JOY_20180928_3_C,6.8,20200204,C,,SSW,1,-,,20200207,10,126,8,Canal_Ibiza_S,624.15
CULLERA,CULLERA,CLL,20180929,39.159968,-0.230883,CLL_20180928_1_AB,5.5,20200204,AB,,WNW,1,1,,20200213,11,127,9,Canal_Ibiza_N,729.15
CULLERA,CULLERA,CLL,20180929,39.159968,-0.230883,CLL_20180928_1_C,5.5,20200204,C,,WNW,1,-,,20200213,11,128,9,Canal_Ibiza_N,729.15
CULLERA,CULLERA,CLL,20180929,39.159968,-0.230883,CLL_20180928_2_AB,6.3,20200205,AB,2,WNW,1,1,,20200213,10,129,9,Canal_Ibiza_N,729.15
CULLERA,CULLERA,CLL,20180929,39.159968,-0.230883,CLL_20180928_2_C,6.3,20200205,C,2,WNW,1,-,,20200213,10.4,130,9,Canal_Ibiza_N,729.15
CULLERA,CULLERA,CLL,20180929,39.159968,-0.230883,CLL_20180928_3_AB,5.3,20200205,AB,1,2,WNW,1,1,NA,20200213,10.3,9,Canal_Ibiza_N,729.15
CULLERA,CULLERA,CLL,20180929,39.159968,-0.230883,CLL_20180928_3_C,5.3,20200205,C,1,2,WNW,1,-,NA,20200213,10.2,9,Canal_Ibiza_N,729.15
CALAFAT,CALAFAT,CAL,20181009,40.92045,0.841866,CAL_20181009_1_AB,5,20200210,AB,1,NE,1,-,,20200213,9.9,140,10,Canal_Ibiza_N,949.27
CALAFAT,CALAFAT,CAL,20181009,40.92045,0.841866,CAL_20181009_1_C,5,20200210,C,1,NE,1,-,,20200213,11,141,10,Canal_Ibiza_N,949.27
CALAFAT,CALAFAT,CAL,20181009,40.92045,0.841866,CAL_20181009_2_AB,4.4,20200210,AB,,SE,1,-,,20200213,9.9,142,10,Canal_Ibiza_N,949.27
CALAFAT,CALAFAT,CAL,20181009,40.92045,0.841866,CAL_20181009_2_C,4.4,20200210,C,,SE,1,-,,20200213,10.6,143,10,Canal_Ibiza_N,949.27
CALAFAT,CALAFAT,CAL,20181009,40.92045,0.841866,CAL_20181009_3_AB,4.8,20200210,AB,,N,1,-,,20200213,9.9,144,10,Canal_Ibiza_N,949.27
CALAFAT,CALAFAT,CAL,20181009,40.92045,0.841866,CAL_20181009_3_C,4.8,20200210,C,,N,1,-,,20200213,10.7,145,10,Canal_Ibiza_N,949.27
TOSSA,TOSSA,TOS,20181024,41.720944,2.939944,TOS_20181024_1_AB,6.2,20200210,AB,1,E,1,-,,20200213,10.1,146,11,Canal_Ibiza_N,1147.45
TOSSA,TOSSA,TOS,20181024,41.720944,2.939944,TOS_20181024_1_C,6.2,20200210,C,1,E,1,-,,20200213,10.2,147,11,Canal_Ibiza_N,1147.45
TOSSA,TOSSA,TOS,20181024,41.720944,2.939944,TOS_20181024_3_AB,7,20200210,AB,,NE,1,-,,20200213,9.9,148,11,Canal_Ibiza_N,1147.45
TOSSA,TOSSA,TOS,20181024,41.720944,2.939944,TOS_20181024_3_C,7,20200210,C,,NE,1,-,,20200213,9.9,149,11,Canal_Ibiza_N,1147.45
TOSSA,TOSSA,TOS,20181024,41.720944,2.939944,TOS_20181024_4_AB,7.2,20200210,AB,1,NE,1,-,,20200213,10.3,150,11,Canal_Ibiza_N,1147.45
TOSSA,TOSSA,TOS,20181024,41.720944,2.939944,TOS_20181024_4_C,7.2,20200210,C,1,NE,-,1,,20200213,10,151,11,Canal_Ibiza_N,1147.45
ROSES,ROSES (ALMADRAVA),ROS,20181013,42.2374522,3.2070617,ROS_20181013_1_AB,7.5,20200211,AB,,NW,1,-,,20200213,10.4,134,12,Canal_Ibiza_N,1215.6
ROSES,ROSES (ALMADRAVA),ROS,20181013,42.2374522,3.2070617,ROS_20181013_1_C,7.5,20200211,C,,NW,1,-,,20200213,10.3,135,12,Canal_Ibiza_N,1215.6
ROSES,ROSES (ALMADRAVA),ROS,20181013,42.2374522,3.2070617,ROS_20181013_2_AB,6.8,20200211,AB,,NW,1,-,,20200213,10,136,12,Canal_Ibiza_N,1215.6
ROSES,ROSES (ALMADRAVA),ROS,20181013,42.2374522,3.2070617,ROS_20181013_2_C,6.8,20200211,C,,NW,1,-,,20200213,10.8,137,12,Canal_Ibiza_N,1215.6
ROSES,ROSES (ALMADRAVA),ROS,20181013,42.2374522,3.2070617,ROS_20181013_4_AB,6.1,20200211,AB,,SW,1,-,,20200213,10,138,12,Canal_Ibiza_N,1215.6
ROSES,ROSES (ALMADRAVA),ROS,20181013,42.2374522,3.2070617,ROS_20181013_4_C,6.1,20200211,C,,SW,1,-,,20200213,10,139,12,Canal_Ibiza_N,1215.6
